"","type","home_team","away_team","week","season","home_score.x","away_score.x","winner","home_winner","away_winner","home_conference","home_division","away_conference","away_division","conference_game","division_game","year","month","day","away_score.y","temperature","wind_chill","humidity","wind_mph","weather","latitude","longitude","Capacity","Field","Elevation","margin_of_victory"
"39","reg","TB","NYG",3,2009,0,24,"NYG",FALSE,TRUE,"NFC","NFC South","NFC","NFC East",TRUE,FALSE,"09","09","27",24,84,NA,"78%",7,"84 degrees- relative humidity 78%- wind 7 mph",27.975967,-82.50335,65890,"Grass",48,24
"40","reg","PHI","KC",3,2009,34,14,"PHI",TRUE,FALSE,"NFC","NFC East","AFC","AFC West",FALSE,FALSE,"09","09","27",14,65,NA,"88%",9,"65 degrees- relative humidity 88%- wind 9 mph",39.900775,-75.167453,69176,"Grass",39,20
"41","reg","LA","GB",3,2009,17,36,"GB",FALSE,TRUE,"NFC","NFC West","NFC","NFC North",TRUE,FALSE,"09","09","27",36,72,NA,NA,NA,"72 degrees- no wind",38.632975,-90.188547,77500,"Grass",285,19
"42","reg","BUF","NO",3,2009,7,27,"NO",FALSE,TRUE,"AFC","AFC East","NFC","NFC South",FALSE,FALSE,"09","09","27",27,60,NA,"87%",11,"60 degrees- relative humidity 87%- wind 11 mph",42.773739,-78.786978,73967,"Turf",600,20
"43","reg","SEA","CHI",3,2009,19,25,"CHI",FALSE,TRUE,"NFC","NFC West","NFC","NFC North",TRUE,FALSE,"09","09","27",25,58,NA,"62%",11,"58 degrees- relative humidity 62%- wind 11 mph",47.595153,-122.331625,67000,"Turf",170,6
"44","reg","CIN","PIT",3,2009,23,20,"CIN",TRUE,FALSE,"AFC","AFC North","AFC","AFC North",TRUE,TRUE,"09","09","27",20,62,NA,"86%",8,"62 degrees- relative humidity 86%- wind 8 mph",39.095442,-84.516039,65515,"Turf",482,3
"45","reg","LAC","MIA",3,2009,23,13,"LAC",TRUE,FALSE,"AFC","AFC West","AFC","AFC East",TRUE,FALSE,"09","09","27",13,70,NA,"82%",6,"70 degrees- relative humidity 82%- wind 6 mph",32.783117,-117.119525,70561,"Grass",62,10
"46","reg","OAK","DEN",3,2009,3,23,"DEN",FALSE,TRUE,"AFC","AFC West","AFC","AFC West",TRUE,TRUE,"09","09","27",23,70,NA,"61%",6,"70 degrees- relative humidity 61%- wind 6 mph",37.751411,-122.200889,53250,"Grass",43,20
"47","reg","ARI","IND",3,2009,10,31,"IND",FALSE,TRUE,"NFC","NFC West","AFC","AFC South",FALSE,FALSE,"09","09","27",31,72,NA,NA,NA,"72 degrees- no wind",33.5277,-112.262608,63400,"Grass",1152,21
"48","reg","DAL","CAR",3,2009,21,7,"DAL",TRUE,FALSE,"NFC","NFC East","NFC","NFC South",TRUE,FALSE,"09","09","28",7,78,NA,NA,14,"78 degrees- wind 14 mph",32.747778,-97.092778,80000,"Turf",604,14
"49","reg","CHI","DET",4,2009,48,24,"CHI",TRUE,FALSE,"NFC","NFC North","NFC","NFC North",TRUE,TRUE,"09","10","04",NA,NA,NA,NA,NA,NA,41.862306,-87.616672,61500,"Grass",597,24
"50","reg","CLE","CIN",4,2009,20,23,"CIN",FALSE,TRUE,"AFC","AFC North","AFC","AFC North",TRUE,TRUE,"09","10","04",NA,NA,NA,NA,NA,NA,41.506022,-81.699564,68000,"Grass",653,3
"51","reg","HOU","OAK",4,2009,29,6,"HOU",TRUE,FALSE,"AFC","AFC South","AFC","AFC West",TRUE,FALSE,"09","10","04",NA,NA,NA,NA,NA,NA,29.684781,-95.410956,71500,"Grass",105,23
"52","reg","IND","SEA",4,2009,34,17,"IND",TRUE,FALSE,"AFC","AFC South","NFC","NFC West",FALSE,FALSE,"09","10","04",NA,NA,NA,NA,NA,NA,39.760056,-86.163806,63000,"Turf",715,17
"53","reg","JAX","TEN",4,2009,37,17,"JAX",TRUE,FALSE,"AFC","AFC South","AFC","AFC South",TRUE,TRUE,"09","10","04",NA,NA,NA,NA,NA,NA,30.323925,-81.637356,67264,"Grass",16,20
"54","reg","KC","NYG",4,2009,16,27,"NYG",FALSE,TRUE,"AFC","AFC West","NFC","NFC East",FALSE,FALSE,"09","10","04",NA,NA,NA,NA,NA,NA,39.048914,-94.484039,76416,"Grass",909,11
"55","reg","NE","BAL",4,2009,27,21,"NE",TRUE,FALSE,"AFC","AFC East","AFC","AFC North",TRUE,FALSE,"09","10","04",NA,NA,NA,NA,NA,NA,42.090925,-71.26435,68756,"Turf",289,6
"56","reg","WAS","TB",4,2009,16,13,"WAS",TRUE,FALSE,"NFC","NFC East","NFC","NFC South",TRUE,FALSE,"09","10","04",NA,NA,NA,NA,NA,NA,38.907697,-76.864517,79000,"Grass",410,3
"57","reg","MIA","BUF",4,2009,38,10,"MIA",TRUE,FALSE,"AFC","AFC East","AFC","AFC East",TRUE,TRUE,"09","10","04",NA,NA,NA,NA,NA,NA,25.957919,-80.238842,65326,"Grass",7,28
"58","reg","NO","NYJ",4,2009,24,10,"NO",TRUE,FALSE,"NFC","NFC South","AFC","AFC East",FALSE,FALSE,"09","10","04",NA,NA,NA,NA,NA,NA,29.950931,-90.081364,76468,"Turf",-1,14
"59","reg","DEN","DAL",4,2009,17,10,"DEN",TRUE,FALSE,"AFC","AFC West","NFC","NFC East",FALSE,FALSE,"09","10","04",NA,NA,NA,NA,NA,NA,39.743936,-105.020097,76125,"Grass",5280,7
"60","reg","SF","LA",4,2009,35,0,"SF",TRUE,FALSE,"NFC","NFC West","NFC","NFC West",TRUE,TRUE,"09","10","04",NA,NA,NA,NA,NA,NA,37.713486,-122.386256,68500,"Grass",52,35
"61","reg","PIT","LAC",4,2009,38,28,"PIT",TRUE,FALSE,"AFC","AFC North","AFC","AFC West",TRUE,FALSE,"09","10","04",NA,NA,NA,NA,NA,NA,40.446786,-80.015761,65500,"Grass",1371,10
"62","reg","MIN","GB",4,2009,30,23,"MIN",TRUE,FALSE,"NFC","NFC North","NFC","NFC North",TRUE,TRUE,"09","10","05",NA,NA,NA,NA,NA,NA,44.973881,-93.258094,66200,"Turf",830,7
"63","reg","LA","MIN",5,2009,10,38,"MIN",FALSE,TRUE,"NFC","NFC West","NFC","NFC North",TRUE,FALSE,"09","10","11",38,72,NA,NA,NA,"72 degrees- no wind",38.632975,-90.188547,77500,"Grass",285,28
"64","reg","PHI","TB",5,2009,33,14,"PHI",TRUE,FALSE,"NFC","NFC East","NFC","NFC South",TRUE,FALSE,"09","10","11",14,56,NA,"54%",8,"56 degrees- relative humidity 54%- wind 8 mph",39.900775,-75.167453,69176,"Grass",39,19
"65","reg","KC","DAL",5,2009,20,26,"DAL",FALSE,TRUE,"AFC","AFC West","NFC","NFC East",FALSE,FALSE,"09","10","11",26,38,30,"64%",10,"38 degrees- relative humidity 64%- wind 10 mph- wind chill 30",39.048914,-94.484039,76416,"Grass",909,6
"66","reg","DET","PIT",5,2009,20,28,"PIT",FALSE,TRUE,"NFC","NFC North","AFC","AFC North",FALSE,FALSE,"09","10","11",28,72,NA,NA,NA,"72 degrees- no wind",42.340156,-83.045808,65000,"Turf",656,8
"67","reg","CAR","WAS",5,2009,20,17,"CAR",TRUE,FALSE,"NFC","NFC South","NFC","NFC East",TRUE,FALSE,"09","10","11",17,65,NA,"67%",8,"65 degrees- relative humidity 67%- wind 8 mph",35.225808,-80.852861,73778,"Grass",761,3
"68","reg","BUF","CLE",5,2009,3,6,"CLE",FALSE,TRUE,"AFC","AFC East","AFC","AFC North",TRUE,FALSE,"09","10","11",6,46,NA,"57%",13,"46 degrees- relative humidity 57%- wind 13 mph",42.773739,-78.786978,73967,"Turf",600,3
"69","reg","NYG","OAK",5,2009,44,7,"NYG",TRUE,FALSE,"NFC","NFC East","AFC","AFC West",FALSE,FALSE,"09","10","11",7,57,NA,"47%",11,"57 degrees- relative humidity 47%- wind 11 mph",40.812194,-74.076983,82500,"Turf",3,37
"70","reg","BAL","CIN",5,2009,14,17,"CIN",FALSE,TRUE,"AFC","AFC North","AFC","AFC North",TRUE,TRUE,"09","10","11",17,54,NA,"65%",5,"54 degrees- relative humidity 65%- wind 5 mph",39.277969,-76.622767,71008,"Turf",493,3
"71","reg","SF","ATL",5,2009,10,45,"ATL",FALSE,TRUE,"NFC","NFC West","NFC","NFC South",TRUE,FALSE,"09","10","11",45,54,NA,"76%",12,"54 degrees- relative humidity 76%- wind 12 mph",37.713486,-122.386256,68500,"Grass",52,35
"72","reg","SEA","JAX",5,2009,41,0,"SEA",TRUE,FALSE,"NFC","NFC West","AFC","AFC South",FALSE,FALSE,"09","10","11",0,50,NA,"28%",11,"50 degrees- relative humidity 28%- wind 11 mph",47.595153,-122.331625,67000,"Turf",170,41
"73","reg","DEN","NE",5,2009,20,17,"DEN",TRUE,FALSE,"AFC","AFC West","AFC","AFC East",TRUE,FALSE,"09","10","11",17,28,20,"72%",8,"28 degrees- relative humidity 72%- wind 8 mph- wind chill 20",39.743936,-105.020097,76125,"Grass",5280,3
"74","reg","ARI","HOU",5,2009,28,21,"ARI",TRUE,FALSE,"NFC","NFC West","AFC","AFC South",FALSE,FALSE,"09","10","11",21,72,NA,NA,NA,"72 degrees- no wind",33.5277,-112.262608,63400,"Grass",1152,7
"75","reg","TEN","IND",5,2009,9,31,"IND",FALSE,TRUE,"AFC","AFC South","AFC","AFC South",TRUE,TRUE,"09","10","11",31,54,NA,"75%",7,"54 degrees- relative humidity 75%- wind 7 mph",36.166461,-86.771289,69143,"Grass",597,22
"76","reg","MIA","NYJ",5,2009,31,27,"MIA",TRUE,FALSE,"AFC","AFC East","AFC","AFC East",TRUE,TRUE,"09","10","12",27,86,NA,"67%",12,"86 degrees- relative humidity 67%- wind 12 mph",25.957919,-80.238842,65326,"Grass",7,4
"77","reg","CIN","HOU",6,2009,17,28,"HOU",FALSE,TRUE,"AFC","AFC North","AFC","AFC South",TRUE,FALSE,"09","10","18",28,41,NA,"60%",6,"41 degrees- relative humidity 60%- wind 6 mph",39.095442,-84.516039,65515,"Turf",482,11
"78","reg","GB","DET",6,2009,26,0,"GB",TRUE,FALSE,"NFC","NFC North","NFC","NFC North",TRUE,TRUE,"09","10","18",0,38,NA,"76%",8,"38 degrees- relative humidity 76%- wind 8 mph",44.501306,-88.062167,80735,"Grass",581,26
"79","reg","JAC","LA",6,2009,23,20,"JAC",TRUE,FALSE,"AFC","AFC West","NFC","NFC West",FALSE,FALSE,"09","10","18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"80","reg","MIN","BAL",6,2009,33,31,"MIN",TRUE,FALSE,"NFC","NFC North","AFC","AFC North",FALSE,FALSE,"09","10","18",31,72,NA,NA,NA,"72 degrees- no wind",44.973881,-93.258094,66200,"Turf",830,2
"81","reg","NO","NYG",6,2009,48,27,"NO",TRUE,FALSE,"NFC","NFC South","NFC","NFC East",TRUE,FALSE,"09","10","18",27,72,NA,NA,NA,"72 degrees- no wind",29.950931,-90.081364,76468,"Turf",-1,21
"82","reg","PIT","CLE",6,2009,27,14,"PIT",TRUE,FALSE,"AFC","AFC North","AFC","AFC North",TRUE,TRUE,"09","10","18",14,40,NA,"71%",11,"40 degrees- relative humidity 71%- wind 11 mph",40.446786,-80.015761,65500,"Grass",1371,13
"83","reg","TB","CAR",6,2009,21,28,"CAR",FALSE,TRUE,"NFC","NFC South","NFC","NFC South",TRUE,TRUE,"09","10","18",28,58,NA,"61%",14,"58 degrees- relative humidity 61%- wind 14 mph",27.975967,-82.50335,65890,"Grass",48,7
"84","reg","WAS","KC",6,2009,6,14,"KC",FALSE,TRUE,"NFC","NFC East","AFC","AFC West",FALSE,FALSE,"09","10","18",14,45,NA,"74%",17,"45 degrees- relative humidity 74%- wind 17 mph",38.907697,-76.864517,79000,"Grass",410,8
"85","reg","OAK","PHI",6,2009,13,9,"OAK",TRUE,FALSE,"AFC","AFC West","NFC","NFC East",FALSE,FALSE,"09","10","18",9,61,NA,"84%",9,"61 degrees- relative humidity 84%- wind 9 mph",37.751411,-122.200889,53250,"Grass",43,4
"86","reg","SEA","ARI",6,2009,3,27,"ARI",FALSE,TRUE,"NFC","NFC West","NFC","NFC West",TRUE,TRUE,"09","10","18",27,56,NA,"86%",10,"56 degrees- relative humidity 86%- wind 10 mph",47.595153,-122.331625,67000,"Turf",170,24
"87","reg","NE","TEN",6,2009,59,0,"NE",TRUE,FALSE,"AFC","AFC East","AFC","AFC South",TRUE,FALSE,"09","10","18",0,44,NA,"80%",20,"44 degrees- relative humidity 80%- wind 20 mph",42.090925,-71.26435,68756,"Turf",289,59
"88","reg","NYJ","BUF",6,2009,13,16,"BUF",FALSE,TRUE,"AFC","AFC East","AFC","AFC East",TRUE,TRUE,"09","10","18",16,46,NA,"73%",17,"46 degrees- relative humidity 73%- wind 17 mph",40.812194,-74.076983,82500,"Turf",3,3
"89","reg","ATL","CHI",6,2009,21,14,"ATL",TRUE,FALSE,"NFC","NFC South","NFC","NFC North",TRUE,FALSE,"09","10","18",14,72,NA,NA,NA,"72 degrees- no wind",33.757614,-84.400972,71000,"Turf",1050,7
"90","reg","LAC","DEN",6,2009,23,34,"DEN",FALSE,TRUE,"AFC","AFC West","AFC","AFC West",TRUE,TRUE,"09","10","19",34,66,NA,"75%",8,"66 degrees- relative humidity 75%- wind 8 mph",32.783117,-117.119525,70561,"Grass",62,11
"91","reg","TB","NE",7,2009,7,35,"NE",FALSE,TRUE,"NFC","NFC South","AFC","AFC East",FALSE,FALSE,"09","10","25",35,56,NA,"73%",17,"56 degrees- relative humidity 73%- wind 17 mph",27.975967,-82.50335,65890,"Grass",48,28
"92","reg","LA","IND",7,2009,6,42,"IND",FALSE,TRUE,"NFC","NFC West","AFC","AFC South",FALSE,FALSE,"09","10","25",42,72,NA,NA,NA,"72 degrees- no wind",38.632975,-90.188547,77500,"Grass",285,36
"93","reg","PIT","MIN",7,2009,27,17,"PIT",TRUE,FALSE,"AFC","AFC North","NFC","NFC North",FALSE,FALSE,"09","10","25",17,48,NA,"61%",9,"48 degrees- relative humidity 61%- wind 9 mph",40.446786,-80.015761,65500,"Grass",1371,10
"94","reg","KC","LAC",7,2009,7,37,"LAC",FALSE,TRUE,"AFC","AFC West","AFC","AFC West",TRUE,TRUE,"09","10","25",37,55,NA,"76%",12,"55 degrees- relative humidity 76%- wind 12 mph",39.048914,-94.484039,76416,"Grass",909,30
